end_time,start_time,duration,time_offset,exercise_type,max_speed,calorie,mean_speed,update_time,live_data,distance,datauuid,create_time
2018-08-06 07:35:21.000,2018-08-06 07:22:17.000,783839,UTC+0200,1001,3.3336284,51.26146,1.4823523,2018-08-06 07:39:48.372,37344ec5-0c68-4062-9129-bcf6d29ff592.live_data.json,1161.9255,37344ec5-0c68-4062-9129-bcf6d29ff592,2018-08-06 07:39:48.372
2019-01-17 14:11:07.000,2019-01-17 14:00:00.000,667373,UTC+0100,1001,1.7029794,42.32692,1.4471565,2019-01-17 14:15:00.117,373f2ec0-7f4f-412b-81fe-5380649e00e4.live_data.json,965.7932,373f2ec0-7f4f-412b-81fe-5380649e00e4,2019-01-17 14:15:00.117
2018-06-19 17:09:27.000,2018-06-19 16:39:00.000,1827409,UTC+0100,1001,1.6145589,116.72455,1.4179149,2018-06-19 17:11:42.002,383fc27b-4cff-42ea-93e4-35a333c43444.live_data.json,2591.1104,383fc27b-4cff-42ea-93e4-35a333c43444,2018-06-19 17:11:42.002
2018-10-19 17:54:50.000,2018-10-19 17:40:11.000,878573,UTC+0200,1001,1.7697285,57.95105,1.4979914,2018-10-19 18:00:15.463,38963059-ad3f-4f6c-a715-1dca821a5696.live_data.json,1316.0947,38963059-ad3f-4f6c-a715-1dca821a5696,2018-10-19 18:00:15.463
2018-11-10 14:40:06.000,2018-11-10 14:10:00.000,1806073,UTC+0100,1001,2.2106802,104.592255,1.2799189,2018-11-10 14:55:00.045,38f42c61-6166-4449-9932-97f7a49a7603.live_data.json,2311.627,38f42c61-6166-4449-9932-97f7a49a7603,2018-11-10 14:55:00.045
2018-07-02 18:59:14.000,2018-07-02 18:43:33.000,941449,UTC+0100,1001,1.546391,60.84674,1.4273689,2018-07-02 19:23:29.451,397345aa-2a9b-4987-8bed-9fb8c3420cb1.live_data.json,1343.7949,397345aa-2a9b-4987-8bed-9fb8c3420cb1,2018-07-02 19:23:29.451
2018-07-25 10:43:08.000,2018-07-25 10:09:08.000,2039928,UTC+0100,1001,2.1227942,128.23315,1.3863646,2018-07-25 10:44:18.448,39803365-b940-42f2-8251-1a1e898e31f2.live_data.json,2828.084,39803365-b940-42f2-8251-1a1e898e31f2,2018-07-25 10:44:18.448
2018-06-11 08:09:06.000,2018-06-11 07:33:13.000,2153290,UTC+0100,1001,1.8683261,134.18872,1.3952193,2018-06-11 08:10:09.314,3b24a971-2d09-4d3b-b051-490e8a57e961.live_data.json,3004.3118,3b24a971-2d09-4d3b-b051-490e8a57e961,2018-06-11 08:10:09.314
2018-12-16 09:27:21.000,2018-12-16 09:03:00.000,1461568,UTC+0100,1001,1.7602018,94.46335,1.4540434,2018-12-16 09:28:35.953,3b62d511-69bd-452e-af44-cfbc5238cf1b.live_data.json,2125.1833,3b62d511-69bd-452e-af44-cfbc5238cf1b,2018-12-16 09:28:35.953
2018-07-24 07:21:03.000,2018-07-24 06:44:00.000,2223126,UTC+0100,1001,1.7635537,138.6631,1.3915545,2018-07-24 07:22:05.586,3c28bdbe-8e61-4265-b427-6dc953e6af7e.live_data.json,3093.601,3c28bdbe-8e61-4265-b427-6dc953e6af7e,2018-07-24 07:22:05.586
2018-08-18 16:03:29.000,2018-08-18 15:52:00.000,689057,UTC+0200,1001,1.7210926,42.49054,1.3578424,2018-08-18 16:15:00.046,3c61c155-1e86-4a12-9979-2a66f4854f30.live_data.json,935.63086,3c61c155-1e86-4a12-9979-2a66f4854f30,2018-08-18 16:15:00.046
2018-09-30 11:11:06.000,2018-09-30 10:44:06.000,1620355,UTC+0200,1001,3.2954814,82.04651,1.1026772,2018-09-30 11:12:22.394,3cd2abe4-b309-4e6b-afb7-bbeed7185e43.live_data.json,1786.7285,3cd2abe4-b309-4e6b-afb7-bbeed7185e43,2018-09-30 11:12:22.394
2018-07-03 20:33:00.000,2018-07-03 20:00:00.000,1980942,UTC+0100,1001,1.6882174,126.56503,1.4333394,2018-07-03 20:42:19.129,3d24dbeb-606d-4cb6-a1d0-9fca5ca5cbd0.live_data.json,2839.3618,3d24dbeb-606d-4cb6-a1d0-9fca5ca5cbd0,2018-07-03 20:42:19.129
2018-07-11 16:18:05.000,2018-07-11 15:52:04.000,1560926,UTC+0100,1001,1.6629678,96.93042,1.3890518,2018-07-11 16:19:55.956,3ecd0eaa-678c-4c9e-9976-897ec4f19af1.live_data.json,2168.207,3ecd0eaa-678c-4c9e-9976-897ec4f19af1,2018-07-11 16:19:55.956
2018-07-03 16:31:07.000,2018-07-03 16:04:05.000,1622265,UTC+0100,1001,1.8087806,99.78258,1.3963991,2018-07-03 16:33:48.427,3f64518d-75ea-422b-a052-0d28227f3d88.live_data.json,2265.3296,3f64518d-75ea-422b-a052-0d28227f3d88,2018-07-03 16:33:48.427
